7236015,1393610411,3.77,3.66,124.18,360.78,0.00,0.00,0.00,0.00,30.50,0.00,0.00,0.00,0.00,0.00,82.35,12.28,12.71,11.44,15.24,13.97,10.17,16.93,11.86,11.86,12.71,16.51,12.28,11.44,16.93,14.40,13.97,14.82,15.24,1.82,3.66,-3.68,84.21,79.03,40.31
7596016,1393614396,3.82,4.48,129.41,418.30,126.70,416.67,0.00,0.00,8.71,266.67,0.00,0.00,167.32,0.00,82.35,7.63,8.90,3.81,9.75,8.90,11.86,14.82,9.75,9.75,11.86,24.91,11.02,10.59,11.44,9.75,8.90,7.20,9.75,-0.54,-3.68,3.66,51.43,83.13,53.42
7740016,1393615990,3.78,3.69,121.57,334.64,0.00,0.00,0.00,0.00,34.86,0.00,0.00,0.00,0.00,0.00,70.59,12.28,13.13,9.75,15.24,13.55,11.02,16.51,11.86,11.86,10.59,16.93,11.44,10.17,16.51,15.24,13.13,16.08,15.24,2.08,-3.68,-3.68,86.67,83.13,51.78
7776017,1393616389,3.78,3.69,121.57,371.24,0.00,0.00,0.00,0.00,34.86,0.00,0.00,0.00,0.00,0.00,62.75,9.75,11.86,9.32,12.71,9.32,2.96,14.40,5.08,5.08,4.66,18.19,5.08,4.23,16.08,13.13,8.48,13.13,12.71,3.66,-3.68,3.66,74.38,41.33,1.79
9072016,1393630735,3.83,4.44,122.88,240.52,144.80,470.59,0.00,58.82,34.86,0.00,0.00,78.43,224.84,14.71,78.43,7.63,7.63,2.10,10.59,6.78,9.32,16.08,8.48,8.48,7.20,11.02,8.05,8.05,11.86,8.48,8.90,7.63,10.59,2.40,3.66,-3.68,48.15,51.99,64.07
9144016,1393631532,3.83,4.58,145.10,240.52,132.73,450.98,7.84,0.00,130.72,0.00,18.10,0.00,0.00,166.67,90.20,9.75,11.02,5.51,11.02,9.75,11.86,16.51,12.28,12.28,10.59,13.55,12.28,11.86,14.82,12.28,11.86,10.59,11.02,1.59,3.66,-3.68,88.31,66.74,26.37
20205232,1393753980,3.81,4.28,112.42,397.39,144.80,357.84,117.65,0.00,43.57,0.00,144.80,0.00,83.66,0.00,98.04,8.05,13.97,10.17,15.24,13.97,11.44,18.19,13.13,13.13,13.55,15.66,10.59,14.82,18.19,13.55,11.44,14.82,15.24,-0.42,-3.68,-2.43,67.00,103.62,51.78
20206456,1393753993,3.81,4.41,116.34,423.53,144.80,406.86,101.96,0.00,0.00,0.00,126.70,0.00,188.24,0.00,58.82,8.90,12.28,9.75,14.40,15.66,12.71,17.35,12.28,12.28,12.71,17.35,12.71,13.13,14.82,13.97,14.40,14.40,14.40,1.53,-3.68,3.66,50.61,45.43,38.67
55368016,1394143232,3.76,3.73,113.73,381.70,0.00,0.00,0.00,0.00,34.86,0.00,0.00,0.00,0.00,0.00,78.43,5.51,2.96,5.08,5.08,2.53,-4.29,8.05,1.25,1.25,3.38,13.55,-0.03,-0.88,9.75,8.48,1.25,8.48,5.08,1.12,-3.68,3.66,48.97,48.71,-0.67
64836001,1394248043,3.76,3.53,120.26,397.39,0.00,0.00,0.00,0.00,39.22,0.00,0.00,0.00,0.00,0.00,66.67,8.90,6.78,5.08,10.59,5.93,-1.73,11.02,4.66,4.66,6.78,15.66,1.68,1.68,13.13,11.86,3.81,11.44,10.59,2.43,-1.18,-3.68,88.31,54.45,40.31
